FVN	A32	DJB
1021	1025	1077
993	1019	996
1023	954	928
1037	1009	999
1009	951	981
998	1005	1010
992	980	970
927	954	1016
988	986	1012
939	1001	954
960	997	1048
960	941	1025
998	984	945
985	972	1019
1019	1011	951
953	1025	987
1048	985	988
996	917	993
1021	989	1031
981	1034	1028
1021	1015	1005
970	935	1010
1002	1020	1028
984	1038	1074
971	993	997
1017	1014	998
1004	991	986
954	1018	1031
1008	951	994
1115	961	991
1047	982	1015
955	992	1021
1019	1025	1002
968	980	1006
1012	981	965
1020	996	1050
998	990	1006
998	1024	1028
993	1026	961
995	1021	958
990	1003	1027
1020	1014	990
1012	1014	1011
1027	981	1015
962	1002	990
1058	982	1011
907	1002	1016
976	995	1015
998	1014	975
994	968	962
1006	1002	1018
1048	1005	1000
1043	989	1036
968	1038	998
1047	1023	990
1001	1052	973
1048	979	977
1061	1010	1027
944	1058	1000
1010	994	1012
1000	1000	981
1000	1005	993
1023	989	1025
1013	1030	1001
978	1033	1024
975	1002	958
1017	974	1043
1001	997	962
949	1055	958
962	1006	1031
986	1017	1025
1017	960	1040
947	1023	976
952	1003	1014
1018	1003	1014
1020	994	987
1048	990	1022
1034	985	981
1005	999	984
1003	978	977
976	1050	1023
1004	984	1041
998	929	943
1008	1012	980
989	1067	1032
989	1031	971
1038	971	1001
946	987	948
969	1028	1032
1015	991	992
998	977	971
1034	1010	973
974	996	1023
1061	1049	998
1003	1001	976
1012	999	977
1012	990	1041
1022	1032	956
997	1022	1012
988	1014	987

